campaign_id,campaign_name,build_id,collection_name,is_rail_item,rail_name,rail_position,collection_position,product_name,brand,product_url,external_id,price,currency,stock_status,observed_at,annotation
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,TRUE,Light for 8pm,12,12,Mini Candle Gift Set,Forvr Mood,https://forvrmood.com/products/core-mini-candle-set,,49.99,USD,in_stock,2026-06-06,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,FALSE,,,13,Santal Noir Candle,Brooklyn Candle Studio,https://brooklyncandlestudio.com/products/santal-noir-candle,,22.8,USD,in_stock,2026-08-10,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,FALSE,,,14,Pinon Standard Candle,P.F. Candle Co,https://pfcandleco.com/products/pinon-standard-candle,,24,USD,in_stock,2026-08-07,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,FALSE,,,15,Red Hot Candle,Boy Smells,https://boysmells.com/products/red-hot-candle-9oz,,22,USD,in_stock,2026-08-07,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,FALSE,,,16,Sandalwood Rose Standard Candle,P.F. Candle Co,https://pfcandleco.com/products/sandalwood-rose-standard-candle,,24,USD,in_stock,2026-08-07,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,FALSE,,,17,Teakwood & Tobacco Standard Candle,P.F. Candle Co,https://pfcandleco.com/products/teakwood-tobacco-standard-candle,,24,USD,in_stock,2026-08-07,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,FALSE,,,18,Tuberose Musk HI-FI Candle,P.F. Candle Co,https://pfcandleco.com/products/tuberose-musk-hi-fi-candle,,44,USD,in_stock,2026-08-07,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,FALSE,,,19,Amber & Moss Standard Candle,P.F. Candle Co,https://pfcandleco.com/products/amber-moss-standard-candle,,24,USD,in_stock,2026-07-19,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,FALSE,,,20,Golden Coast Standard Candle,P.F. Candle Co,https://pfcandleco.com/products/golden-coast-standard-candle,,24,USD,in_stock,2026-07-19,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,FALSE,,,21,Hinoki Fantôme,Boy Smells,https://boysmells.com/products/hinoki-fantome-candle-9oz,,44,USD,in_stock,2026-06-06,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,FALSE,,,22,Rattan,Otherland,https://www.otherland.com/products/rattan,,20,USD,in_stock,2026-07-19,
